time,flux,flux_err
2459144.520449016,1.0010223575830297,0.0007969583
2459144.521837933,0.9995022707422135,0.0007965617
2459144.5232268507,1.0007679328419232,0.0007969725
2459144.524615768,1.000322900443812,0.0007966468
2459144.5260046846,1.0007271898385244,0.0007971544
2459144.527393602,1.0003955098312265,0.000796758
2459144.528782519,1.0002406054762,0.0007965598
2459144.5301714363,1.0003970085717266,0.0007969917
2459144.531560353,0.9993853585713469,0.0007961887
2459144.5329492707,1.0000936641315226,0.0007967119
2459144.534338188,1.0003114472493218,0.0007968157
2459144.5357271046,0.9994351797287494,0.0007965647
2459144.537116022,1.0011095069934346,0.000797051
2459144.538504939,0.9985132060451734,0.0007959083
2459144.5398938563,1.0008969719068914,0.0007968594
2459144.541282773,1.0012929060289606,0.0007971486
2459144.54267169,1.0008578933687295,0.0007968572
2459144.5440606074,0.9996456930171229,0.0007966563
2459144.545449524,1.0003894744473107,0.0007971005
2459144.546838441,1.0000333355759006,0.0007969114
2459144.548227358,1.0011203185208,0.0007971625
2459144.549616276,0.9993793063664267,0.0007970012
2459144.551005192,0.9997036852052748,0.0007968913
2459144.5523941093,0.9995360107652599,0.0007970133
2459144.553783026,1.000067277901924,0.0007968055
2459144.555171943,1.000382353825865,0.0007971669
2459144.5565608595,0.9990538782418429,0.0007964035
2459144.5579497768,0.9996796558941689,0.0007970892
2459144.559338693,1.002440426859542,0.0007976458
2459144.5607276107,1.0000368248173463,0.000796989
2459144.5621165275,0.9987957679866566,0.0007965266
2459144.5635054447,1.0002290792090658,0.0007966829
2459144.564894361,1.0011095610674257,0.0007973362
2459144.5662832777,1.0006890590526198,0.0007971668
2459144.567672195,1.0005344058139285,0.0007969557
2459144.569061112,1.0003985664460768,0.0007968708
2459144.5704500284,1.0004374707861308,0.0007967471
2459144.5718389456,0.9994588355711563,0.0007971203
2459144.5732278624,0.999885580388815,0.0007969455
2459144.574616778,0.9988951756504736,0.0007966086
2459144.5760056954,0.999352708458733,0.0007965933
2459144.5773946126,0.9990644791525872,0.0007965404
2459144.5787835293,0.9993029772263038,0.0007969897
2459144.580172446,0.9993116935697757,0.0007968752
2459144.581561363,1.0000116307980231,0.0007971149
2459144.58295028,0.9993474311987355,0.0007968939
2459144.584339196,1.0006434680080336,0.0007971847
2459144.5857281126,1.0009613520050427,0.0007972667
2459144.5871170294,0.9977976544793764,0.0007964434
2459144.588505946,1.000098188554456,0.0007966858
2459144.589894863,1.0007432444847775,0.0007972011
2459144.59128378,0.9995222410774666,0.0007967685
2459144.5926726963,0.9992322982109061,0.0007969933
2459144.5940616126,0.9999525257733544,0.000796852
2459144.5954505294,0.9974933110394942,0.0007964976
2459144.5968394456,0.9997490798284231,0.0007964523
2459144.5982283624,0.9991017492014111,0.0007967378
2459144.599617279,0.999720768678151,0.0007970036
2459144.601006196,0.9996883473767346,0.0007971034
2459144.602395112,0.9997364162483138,0.0007970304
2459144.6037840284,0.9990067452942991,0.0007964245
2459144.605172945,0.9985607889231999,0.0007964172
2459144.606561862,0.9993955781096201,0.0007968138
2459144.607950778,0.9994627682051179,0.00079705
2459144.6107286112,0.9989129692592802,0.0007961981
2459144.612117528,0.9999442026643874,0.0007968482
2459144.6148953605,0.9984258910238083,0.0007962956
2459144.6176731936,0.999364333537433,0.0007962558
2459144.6190621103,0.9992370203365933,0.0007965945
2459144.6204510266,0.9988528976014686,0.0007967154
2459144.621839943,0.9995678654175237,0.0007962721
2459144.623228859,0.9988331638822362,0.0007962881
2459144.6246177754,1.0000069045390851,0.0007969899
2459144.626006692,1.000057019968759,0.0007968338
2459144.6273956085,0.9999762274343016,0.0007969876
2459144.6287845247,1.000675119994701,0.0007967399
2459144.630173441,0.998907361287841,0.0007967589
2459144.631562358,0.9998196129524541,0.0007970559
2459144.6329512736,1.0006136080224712,0.0007966164
