bjd,rv,rv_err
2459907.75857,-423.38,1.95
2459909.74414,-187.38,2.49
2459928.64212, 417.62,3.81
2459930.76066,-277.38,1.94
2459936.72836,-797.38,1.81
2459995.60029,-336.38,3.53
2459996.56963,836.62,2.08
2459997.63070,-122.38,1.97
