bjd,rv,e_rv
2460725.6172892489,-1.3624156316,2.9572342427
2460725.6210312811,-6.2940362124,2.7031448682
2460725.6723220921,-16.3446227195,5.5671260526
2460725.6758778989,-11.3468084303,5.3757756861
