Planet 1,P_b (days),T0_b,ecc_b,omega_b (rad),K_b (m/s),Planet 2,P_c (days),T0_c,ecc_c,omega_c (rad),K_c (m/s),K_truth (m/s),K_fit (m/s),Result
TOI-2431 b,0.2241955977276311,2460258.8685751804,0,1.5707963267948966,23.78858930612332,TOI-2431 c,77.91383274080769,-29.952990742319315,0,1.5707963267948966,11.998033682900717,23.78858930612332,28.12963842240186,Not Recovered
TOI-2431 b,0.2241957151502694,2460258.8685004627,0,1.5707963267948966,40.885751622231126,TOI-2431 c,85.80163246298672,-26.39951223330497,0,1.5707963267948966,3.2234074901759557,40.885751622231126,40.54546829619244,Recovered
TOI-2431 b,0.22419666353000242,2460258.868734613,0,1.5707963267948966,44.81352464573213,TOI-2431 c,19.06120003496812,-6.665121826770618,0,1.5707963267948966,37.97457552594299,44.81352464573213,43.82577811051262,Recovered
TOI-2431 b,0.2241948948704601,2460258.8681950076,0,1.5707963267948966,28.447415718370973,TOI-2431 c,97.91824387731793,47.07011178265461,0,1.5707963267948966,45.84795147730108,28.447415718370973,27.724989815653707,Recovered
TOI-2431 b,0.22419532854752558,2460258.8685540496,0,1.5707963267948966,41.12003289959325,TOI-2431 c,90.4058123485625,43.946537980688746,0,1.5707963267948966,42.196771154224535,41.12003289959325,41.205941005481336,Recovered
TOI-2431 b,0.22419712453362428,2460258.8681752966,0,1.5707963267948966,2.41441813510464,TOI-2431 c,69.7209488288016,4.746291602336697,0,1.5707963267948966,38.1607569868397,2.41441813510464,2.5106981838494487,Recovered
TOI-2431 b,0.22419495476625492,2460258.868394527,0,1.5707963267948966,36.58753611090506,TOI-2431 c,39.58261155802278,3.0332270383943722,0,1.5707963267948966,23.957071760169896,36.58753611090506,34.6658062414077,Not Recovered
TOI-2431 b,0.2241950939493486,2460258.8683719756,0,1.5707963267948966,37.57318667763778,TOI-2431 c,94.0136904735757,20.647469660742914,0,1.5707963267948966,32.14821892454054,37.57318667763778,38.14281968339053,Recovered
TOI-2431 b,0.2241953786088886,2460258.8684190693,0,1.5707963267948966,15.06111965218404,TOI-2431 c,29.42476798326808,-10.151678340048614,0,1.5707963267948966,45.055473274624866,15.06111965218404,16.318805473324915,Recovered
TOI-2431 b,0.2241959070060906,2460258.8686260106,0,1.5707963267948966,30.364316012540588,TOI-2431 c,98.73409573596612,21.84065365336376,0,1.5707963267948966,44.7015042582599,30.364316012540588,29.69819423411046,Recovered
