Planet 1,P_b (days),T0_b,ecc_b,omega_b (rad),K_b (m/s),Planet 2,P_c (days),T0_c,ecc_c,omega_c (rad),K_c (m/s),K_truth (m/s),K_fit (m/s),K_fit Lower Error,K_fit Upper Error,Result
TOI-2431 b,0.2241956847183497,2460258.8684460474,0,1.5707963267948966,35.16168719902436,TOI-2431 c,3.54628278307079,-0.3374881277366071,0,1.5707963267948966,3.2385806304409845,35.16168719902436,33.40639291622327,1.6602104168497824,1.6450223934309136,Recovered
TOI-2431 b,0.2241955053645426,2460258.868499514,0,1.5707963267948966,44.39582666817798,TOI-2431 c,92.33957613691312,12.494806767577778,0,1.5707963267948966,0.8725204995854885,44.39582666817798,45.051473940684296,1.6316132903033989,1.665052981091378,Recovered
TOI-2431 b,0.2241958429627101,2460258.868664616,0,1.5707963267948966,16.61005835474408,TOI-2431 c,82.63389401126439,2.942667284676197,0,1.5707963267948966,37.20098727222692,16.61005835474408,16.989130315494478,1.648226864032054,1.6707695836437857,Recovered
TOI-2431 b,0.2241961002722785,2460258.8685180754,0,1.5707963267948966,46.05306687416999,TOI-2431 c,61.74622048687876,16.50693108828387,0,1.5707963267948966,43.74387020781839,46.05306687416999,46.84195765261831,1.6602830195011933,1.676397855604819,Recovered
TOI-2431 b,0.2241957918716561,2460258.8685334693,0,1.5707963267948966,29.62559947309972,TOI-2431 c,85.1118946664835,-0.3013811713337517,0,1.5707963267948966,47.515169308076565,29.62559947309972,28.06434719420438,1.714805407147356,1.680963323451003,Recovered
TOI-2431 b,0.2241966267705029,2460258.8685510545,0,1.5707963267948966,32.69944230051995,TOI-2431 c,88.2450867133884,-35.585824476897415,0,1.5707963267948966,45.1944385432605,32.69944230051995,32.87765299802956,1.7741099950749837,1.7764425674134543,Recovered
TOI-2431 b,0.2241951993233874,2460258.868444819,0,1.5707963267948966,25.90093439028202,TOI-2431 c,30.714024471445853,-2.739492611823575,0,1.5707963267948966,3.334698711377388,25.90093439028202,29.09693589174153,1.6885078769469253,1.6754079660802752,Recovered
TOI-2431 b,0.2241961973490327,2460258.8688675985,0,1.5707963267948966,3.160232553150583,TOI-2431 c,59.33613958283191,-0.61241115609673,0,1.5707963267948966,37.48029195935846,3.160232553150583,3.183846098468049,1.5480586330658082,1.5823541077173795,Recovered
TOI-2431 b,0.2241962699304159,2460258.8685993827,0,1.5707963267948966,13.004405821803411,TOI-2431 c,34.50994459942057,-15.132313318597182,0,1.5707963267948966,33.28169439158885,13.004405821803411,13.090077145020958,1.730963818479761,1.6798097978625393,Recovered
TOI-2431 b,0.2241955982368916,2460258.868645349,0,1.5707963267948966,26.442569741021487,TOI-2431 c,46.76640855906156,-20.16672147791947,0,1.5707963267948966,17.131541679825464,26.442569741021487,29.29433959758005,2.450106701206522,2.571295788321578,Recovered
TOI-2431 b,0.2241956961479158,2460258.86848916,0,1.5707963267948966,0.2689327616499981,TOI-2431 c,85.07326841848052,-11.98650904521092,0,1.5707963267948966,1.9285496709063432,0.2689327616499981,0.9274966130760272,0.6978250660964337,1.2995420213636413,Recovered
TOI-2431 b,0.2241957966749208,2460258.868520929,0,1.5707963267948966,46.21768271326785,TOI-2431 c,62.22952972484734,-18.669722684411816,0,1.5707963267948966,0.581444437560702,46.21768271326785,46.08397836116452,1.6721983091025834,1.73024798285811,Recovered
TOI-2431 b,0.2241959421541245,2460258.8687702813,0,1.5707963267948966,14.102095390662583,TOI-2431 c,41.80057898371114,-17.873925796137417,0,1.5707963267948966,13.776501449816603,14.102095390662583,16.979093302405648,1.9890845604372116,1.8468885917556008,Recovered
TOI-2431 b,0.2241957055356678,2460258.8685928155,0,1.5707963267948966,46.469936475135846,TOI-2431 c,15.446479030835205,-6.3728185913424,0,1.5707963267948966,5.098315424312983,46.469936475135846,46.16221713030229,1.98189625789756,1.775383938604712,Recovered
TOI-2431 b,0.2241947270964171,2460258.8687797934,0,1.5707963267948966,6.967333455826374,TOI-2431 c,65.86115362333109,26.92784094239268,0,1.5707963267948966,5.75818419683225,6.967333455826374,4.702246047719683,1.6573787735972911,1.7075249413559428,Recovered
TOI-2431 b,0.224195359872194,2460258.8686493845,0,1.5707963267948966,29.409764682495027,TOI-2431 c,22.40348196896287,8.36312337016457,0,1.5707963267948966,0.5631222711992734,29.409764682495027,28.546613860397294,1.7552114180363674,1.669845725054948,Recovered
TOI-2431 b,0.2241956862073358,2460258.86879029,0,1.5707963267948966,45.65420892769861,TOI-2431 c,50.57576793705884,18.730673758367185,0,1.5707963267948966,1.0130196501277722,45.65420892769861,47.21990138453321,1.7317756942687268,1.6778971163777925,Recovered
TOI-2431 b,0.2241954109542215,2460258.8685041424,0,1.5707963267948966,38.64473901127655,TOI-2431 c,57.47536078129636,14.960894594201626,0,1.5707963267948966,31.81465152144004,38.64473901127655,36.51121328099016,1.9490880935487311,1.978922730856368,Recovered
TOI-2431 b,0.2241956576626945,2460258.8685147376,0,1.5707963267948966,48.22715658744181,TOI-2431 c,79.21588282392779,17.44667954772101,0,1.5707963267948966,5.941186615514899,48.22715658744181,49.79675328207588,1.840562808274932,1.853462204297884,Recovered
TOI-2431 b,0.2241959908672989,2460258.868526956,0,1.5707963267948966,11.280191547647094,TOI-2431 c,34.55314046959662,10.168800202360146,0,1.5707963267948966,41.14530654123579,11.280191547647094,8.685213909253676,1.7253103489651345,1.7478579454910932,Recovered
TOI-2431 b,0.2241958324802589,2460258.86869346,0,1.5707963267948966,48.42177568435804,TOI-2431 c,49.85974981413184,-13.214207726059698,0,1.5707963267948966,46.41592871248192,48.42177568435804,47.10834308957243,1.7766944055630418,1.7193418156326177,Recovered
